,ME,2W-FRI,W-FRI
2022-12-31,1.414964212267641,,
2023-01-06,,1.4782642008197637,1.4799994564442
2023-01-13,,,1.5092470572504302
2023-01-20,,1.508072752073201,1.5098182926493144
2023-01-27,,,1.527198341022957
2023-01-31,1.4981803356780456,,
2023-02-03,,1.525725093281604,1.5271885090533661
2023-02-10,,,1.504741463339479
2023-02-17,,1.4955721875782628,1.496992590509988
2023-02-24,,,1.4694071708681908
2023-02-28,1.4480952488971328,,
2023-03-03,,1.4887903824277322,1.4903616060270055
2023-03-10,,,1.4828189285285733
2023-03-17,,1.5119250863322653,1.5135100091114169
2023-03-24,,,1.5276772128693754
2023-03-31,1.513263261244537,1.5405197640458155,1.5419478114886997
2023-04-07,,,1.5544053583032442
2023-04-14,,1.543419998112909,1.5450456991467505
2023-04-21,,,1.5366911420158103
2023-04-28,,1.5508179495367722,1.5524447289298577
2023-04-30,1.5233059057618459,,
2023-05-05,,,1.5514005010326646
2023-05-12,,1.5441245603827187,1.5457553510527315
2023-05-19,,,1.541517163861355
2023-05-26,,1.5418346487623213,1.543156149109722
2023-05-31,1.5192222616746232,,
2023-06-02,,,1.5592827355763657
2023-06-09,,1.5611546465720814,1.562476613468189
2023-06-16,,,1.581630361093214
2023-06-23,,1.5666651746769922,1.568173277390647
2023-06-30,1.5482233348681766,,1.5773270678953064
2023-07-07,,1.5554278643936799,1.5568479353406668
2023-07-14,,,1.592115948203832
2023-07-21,,1.5899903594987785,1.5915112541072343
2023-07-28,,,1.5965168693898568
2023-07-31,1.569398925330604,,
2023-08-04,,1.5678584125938733,1.5695067265016847
2023-08-11,,,1.5537223082414044
2023-08-18,,1.5298605609322014,1.531415544026881
2023-08-25,,,1.5444737294107465
2023-08-31,1.540079741088921,,
2023-09-01,,1.563742120275679,1.565286785922026
2023-09-08,,,1.5508695091527909
2023-09-15,,1.5450026727106192,1.5465690882290006
2023-09-22,,,1.5236385696002628
2023-09-29,,1.5017259470012267,1.5033326582246258
2023-09-30,1.4756787304439587,,
2023-10-06,,,1.491137310038705
2023-10-13,,1.5114207840650344,1.5133039797374566
2023-10-20,,,1.482885664177045
2023-10-27,,1.4765747838929686,1.4783288568206456
2023-10-31,1.4536738547954227,,
2023-11-03,,,1.528827149630238
2023-11-10,,1.5304648545775037,1.531858392076863
2023-11-17,,,1.5608090645633863
2023-11-24,,1.5646378537267096,1.5660366650917348
2023-11-30,1.5498372386464172,,
2023-12-01,,,1.592915380227499
2023-12-08,,1.5887583979796032,1.5901768058543322
2023-12-15,,,1.6307057554883135
2023-12-22,,1.6365259384887598,1.638077915044745
2023-12-29,,,1.6459901320252228
2023-12-31,1.6156314466836033,,
2024-01-05,,1.6186172704589428,1.6201718313743185
2024-01-12,,,1.6353908713031846
2024-01-19,,1.6262329712407388,1.6275485034044173
2024-01-26,,,1.6326892715274037
2024-01-31,1.6096472592614055,,
2024-02-02,,1.6489063124112917,1.6502765174537894
2024-02-09,,,1.6508342970800094
2024-02-16,,1.641034032968996,1.642296710956234
2024-02-23,,,1.6586948696282282
2024-02-29,1.6292917423910407,,
2024-03-01,,1.6725597722622219,1.6738183129083244
2024-03-08,,,1.686769866977146
2024-03-15,,1.6672912882639863,1.6686096497138245
2024-03-22,,,1.6887129576662268
2024-03-29,,1.6956643328089098,1.6970626475220754
2024-03-31,1.6661575554505033,,
2024-04-05,,,1.6878986202107868
2024-04-12,,1.6726774959445931,1.6738863934941879
2024-04-19,,,1.6488200837996563
2024-04-26,,1.6615573127106051,1.663314266027012
2024-04-30,1.6215999401147982,,
2024-05-03,,,1.680736556030237
2024-05-10,,1.6933947484929064,1.6953261105729134
2024-05-17,,,1.7201792748734455
2024-05-24,,1.710664468852527,1.7126867557610435
2024-05-31,1.6688315045111628,,1.7003611603993616
2024-06-07,,1.7112546349225257,1.7133358579788154
2024-06-14,,,1.7469898875654852
2024-06-21,,1.7455106316449875,1.747679200411158
2024-06-28,,,1.7380689184706026
2024-06-30,1.7058411420669704,,
2024-07-05,,1.7647431406272227,1.766885310080655
2024-07-12,,,1.7829551731540312
2024-07-19,,1.7540907566443884,1.7562369303931966
2024-07-26,,,1.7487447873744202
2024-07-31,1.740120019873447,,
2024-08-02,,1.7644406741078398,1.7662396763210972
2024-08-09,,,1.7583733741366392
2024-08-16,,1.7971659752025513,1.7988229736711647
2024-08-23,,,1.8137087985126843
2024-08-30,,1.8007081107370877,1.8023703274037683
2024-08-31,1.7676836287126192,,
2024-09-06,,,1.7869633354733065
2024-09-13,,1.824833805174812,1.8274504265667881
2024-09-20,,,1.8356608241324928
2024-09-27,,1.850792657098067,1.853176663000517
2024-09-30,1.811045408438248,,
2024-10-04,,,1.8405945995915762
2024-10-11,,1.8348090473526555,1.8370046845052301
2024-10-18,,,1.8442144198874906
2024-10-25,,1.8272327766571543,1.82933813011768
2024-10-31,1.779025120649409,,
2024-11-01,,,1.8109396704962475
2024-11-08,,1.8409228111614762,1.843193379302212
2024-11-15,,,1.802350404832255
2024-11-22,,1.8231108842462262,1.8256412468472754
2024-11-29,,,1.8469120601150424
2024-11-30,1.8099447375895432,,
2024-12-06,,1.8584538276817124,1.860961500059896
2024-12-13,,,1.8419070341467239
2024-12-20,,1.8143056692825228,1.8167607838461366
2024-12-27,,,1.81422408751138
2024-12-31,1.7696229285529688,,
2025-01-03,,1.8114293749467418,1.8139265520881536
2025-01-10,,,1.7913192520384078
2025-01-17,,1.820536765592596,1.8232374871176806
2025-01-24,,,1.8410385956733573
2025-01-31,1.8034268671021105,1.8376517744562306,1.8404400256931979
2025-02-07,,,1.853857997748078
2025-02-14,,1.8694395088616826,1.8723239894703572
2025-02-21,,,1.8708938033066922
2025-02-28,1.8279443521933278,1.8629552508224865,1.8657179311290386
2025-03-07,,,1.8478708250323974
2025-03-14,,1.8387694356123783,1.841048396610368
2025-03-21,,,1.8499651699901956
2025-03-28,,1.8370770066631223,1.8393051870798216
2025-03-31,1.8119048326175622,,
2025-04-04,,,1.7896493952147396
2025-04-11,,1.802646935322591,1.8089899346262137
2025-04-18,,,1.8132920046694896
2025-04-25,,1.8472743992026432,1.8543022219027117
2025-04-30,1.8230739848992228,,
2025-05-02,,,1.8706012032382222
2025-05-09,,1.8628506777619884,1.8701023360536426
2025-05-16,,,1.8965315527183437
2025-05-23,,1.8774014411385131,1.885719351205023
2025-05-30,,,1.8993413909741692
2025-05-31,1.856183815582376,,
2025-06-06,,1.902263891094637,1.9107685940599668
2025-06-13,,,1.9235088468097745
2025-06-20,,1.9113429777210444,1.919984066549553
2025-06-27,,,1.9502371332178416
2025-06-30,1.9163351027631468,,
2025-07-04,,1.9557345219072584,1.964476580057439
2025-07-11,,,1.9557975442286935
2025-07-18,,1.9535934070571264,1.9623263941791869
2025-07-25,,,1.9771818868054345
2025-07-31,1.9244645422983226,,
2025-08-01,,1.9629106140110215,1.9717711724108506
2025-08-08,,,1.9933420032875167
2025-08-15,,1.9842120364379676,1.9930060965131597
2025-08-22,,,2.002333094658386
2025-08-29,,1.9951753024444212,2.0040140752160465
2025-08-31,1.957628153822407,,
2025-09-05,,,2.0309996565382415
2025-09-12,,2.048040446955248,2.0570733852587586
2025-09-19,,,2.06700244538901
2025-09-26,,2.056812631797569,2.065866195332949
2025-09-30,2.0333943477725107,,
2025-10-03,,,2.0908739948392014
2025-10-10,,2.072032493546409,2.0811968531040814
2025-10-31,2.033494708497822,,
